Date,Name,Year,Letterboxd URI,Rating
2021-06-06,Shaft,2019,https://boxd.it/htPq,2
2021-06-07,The Equalizer 2,2018,https://boxd.it/bAEW,3
2021-06-08,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.5
2021-06-08,Ninja Assassin,2009,https://boxd.it/1zZ0,2.5
2021-06-09,Coraline,2009,https://boxd.it/1NhQ,4
2021-06-09,Over the Garden Wall,2014,https://boxd.it/eqFw,4.5
2021-06-11,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,2.5
2021-06-11,Constantine,2005,https://boxd.it/2a7E,3
2021-06-13,Cruella,2021,https://boxd.it/bbKg,3
2021-06-14,16 Blocks,2006,https://boxd.it/27cc,3.5
2021-06-15,Stoker,2013,https://boxd.it/34S2,3.5
2021-06-16,Shaft,2000,https://boxd.it/2aiW,2.5
2021-06-18,2 Fast 2 Furious,2003,https://boxd.it/2a4g,3
2021-06-19,Rush,2013,https://boxd.it/3lyS,3.5
2021-06-19,Millennium Actress,2001,https://boxd.it/1fK0,4
2021-06-19,The Little Prince(ss),2021,https://boxd.it/uPPe,3.5
2021-06-20,Superbad,2007,https://boxd.it/20hO,3.5
2021-06-20,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,4
2021-06-21,Bambi Meets Godzilla,1969,https://boxd.it/25AG,3.5
2021-06-23,Willy's Wonderland,2021,https://boxd.it/nTcG,2.5
2021-06-23,Fast & Furious,2009,https://boxd.it/1Pnm,3
2021-06-25,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2021-06-26,Furious 7,2015,https://boxd.it/5cVs,3.5
2021-06-27,Initial D,2005,https://boxd.it/1K9Y,2.5
2021-06-28,F9,2021,https://boxd.it/dqsU,3
2021-06-29,Twilight,2008,https://boxd.it/1Zui,2.5
2021-06-30,6 Underground,2019,https://boxd.it/irU6,2
2021-06-30,In the Heights,2021,https://boxd.it/gLhu,4
2021-07-03,The Purge: Anarchy,2014,https://boxd.it/71zk,3.5
2021-07-04,Resident Evil: Apocalypse,2004,https://boxd.it/28yS,2
2021-07-06,No Sudden Move,2021,https://boxd.it/o7WS,4
2021-07-06,New Initial D the Movie - Legend 1: Awakening,2014,https://boxd.it/8bfQ,3
2021-07-06,New Initial D the Movie - Legend 2: Racer,2015,https://boxd.it/aqxO,3.5
2021-07-08,The Italian Job,1969,https://boxd.it/1W1i,3.5
2021-07-08,The Tomorrow War,2021,https://boxd.it/lE78,3
2021-07-09,Independence Day,1996,https://boxd.it/2a1w,3
2021-07-10,Resident Evil: Infinite Darkness,2021,https://boxd.it/w1Ek,2.5
2021-07-10,Fear Street: 1994,2021,https://boxd.it/lLBk,2.5
2021-07-10,Underworld,2003,https://boxd.it/2aHs,2.5
2021-07-11,Mobile Suit Gundam: The Origin I - Blue-Eyed Casval,2015,https://boxd.it/aMzW,4
2021-07-12,Mobile Suit Gundam: The Origin II - Artesia's Sorrow,2015,https://boxd.it/cMCg,3
2021-07-12,Mobile Suit Gundam: The Origin III - Dawn of Rebellion,2016,https://boxd.it/dUV8,3.5
2021-07-12,Mobile Suit Gundam: The Origin IV – Eve of Destiny,2016,https://boxd.it/ecmA,4
2021-07-13,Mobile Suit Gundam: The Origin V: Clash at Loum,2017,https://boxd.it/fchs,4
2021-07-13,Mobile Suit Gundam Hathaway,2021,https://boxd.it/pzxy,3.5
2021-07-13,Fear Street: 1978,2021,https://boxd.it/lLBu,3
2021-07-15,Luca,2021,https://boxd.it/ipjC,4
2021-07-15,Loki,2021,https://boxd.it/sbHg,4.5
2021-07-16,Blackhat,2015,https://boxd.it/62Te,2.5
